,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2441,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
2442,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
2443,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
2444,Downtown Toronto,Regent Park,43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
2445,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
2446,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Underpass Park,43.65576361726024,-79.3548059463501,Park
2447,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909016,Greek Restaurant
2448,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
2449,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Starbucks,43.65132698417445,-79.36432857157803,Coffee Shop
2450,Downtown Toronto,Regent Park,43.6542599,-79.3606359,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
2451,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
2452,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
2453,Downtown Toronto,Regent Park,43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
2454,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
2455,Downtown Toronto,Regent Park,43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
2456,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
2457,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Redline Coffee and Espresso,43.655692385073614,-79.36409508615066,Café
2458,Downtown Toronto,Regent Park,43.6542599,-79.3606359,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
